token,sim_token
어린이,영해/어린아이/아동
놀이,유희/놀음
매점,사재다/사재기하다/사재기
경치,풍색/풍물/풍광
좌우,좌지우지/좌우지/우좌
각종,갖가지/각색/각가지
온천,탕천/탕정/온정
추억,회상/회고/추상
갯벌,갯밭/갯땅
산책,유보/소풍/산보
강화,약화/구화/강화
물고기,물고기 밥이 되다/물고기가 물속에 놓여 나다
고기,육/고망/고깃값을 하다
영화,시네마
프로그램,프로
다리,하지/월자/월내
선사,전현/전사/왕철
시간,화살대/진각/전죽
이상,현실/정상/이하
편리,쌍리/불편/편상 구조
중요,크다/쭝/중대
계단,층층대/층층다리/층층계
시내,시외/변두리/소계
소리,하전/하리/창
방문,화제/찾아오다/찾아보다
서식,서숙/서례/견양
학생,학도
아이,아자/동해/아이 보채듯
시인,부인/황문/환자
도보,보행/도행/도감
학교,학원/학당/학춤 추이다
교육,평생 교육원/평생 교육/특수 교육
참여,참녜하다/참예/참녜
건설,파괴/이룩하다/이룩되다
비교,진언 밀교/유가종/비밀 불교
유명,이승/무명/황천
형태,태양/게슈탈트
유래,인의/인유/오다
여행,정행/역행/면행
방향,형향/쪽/분방
상징,표상/심벌
포함,함유/포함/담다
전쟁,전화/전역/병혁
세월,현월/초월/초승달
최대,최소
양쪽,양편/양측/양방
전망,진몰/진망/조망
본래,원시/원래/본시
파도,물고개/도파
일반인,민간인
캠핑장,야영지/야영장/노영지
둘레길,주회/주위/외연
지구,혼원구/호깨나무/헛개나무
연안,연한하다/연선/연안은 짐독이다
사랑,외헌/외실/외당
내용,내복
크기,규모
사계절,사철/사시절/사시
평화,평화스럽다
음악,음절/음곡/성곡
분수,지느러미/분물/분몌
최초,최종/초번/애초
발자국,족흔/족적/족답
발견,파견
고유,특유/양책/양모
마음,흉차/흉심/흉금
관찰,찰관/주시/심찰
와인,포도주
이전,이후/전이/전왕
소개,중개/알선/소개
대부분,대다수/대개/거개
조화,생화/해화/조화
머리,모발/머리카락/머리오리
서울,수부/수도/도읍
바닥,천장/바닥 짚다/바닥 보다
신비,불가사의/미스터리
장비,장착/장수/장례비
매력,매혹/마력
보트,단정
수심,정저/정안/염려
대구,우대/우구/대두어
중앙,중심/복판/가운데
분위기,냄새/공기/분위기 있다
센터,중심
정자,징자/증자/정충
식사,식설/밥/끼
당시,당목
판매,구매/세일즈/발수
지하,지상/흙속/천대
인접,접린/접/인하다
장관,창자/장수/장성
간직,지니다
지붕,옥개/지붕 꼭대기로 소 끌어 올리는 격
제공,첨존/첨위/첨원
세계,집단/인계/우주
철새,텃새/후조/표조
생활,살림하다/살림살이하다/삶
조선,조주/조정/조상
인공,천연/자연/인조
동굴,동혈/동학
자원,탱알/물품/물재
계획,플랜/작정/예정
한편,한통속/한쪽/편측
소요,시위/소동/발동
부근,측지근/측근/인근
구간,신간/신간/몸통
신라,신로/시라/서야벌
촬영,찍다
보유,지보/보지/보완
벚꽃,앵화
특징,특이성/특유성/특성
자형,자체/자양/자서
외부,안/내부/희첩
동시,등시/동절/동일화
형성,형성/해성
친구,친우/친붕/친고
이동,전이/이동/옮기다
개인,타인/답인
화성,화선/형행성/형행
사용,공용/이용/쓰이다
기록,적발하다/적바림하다/적발
경계,진역/임계/배계
겨울철,동절/동기/동계
행사,토핵/취감/조사
보관,보관
복지,지당/이복/양복감
캠핑,야영/노영
형상,형용/형상/상
의미,의의/뜻하다/뜻
병풍,평풍/침병/곡병
독특,유다르다/색다르다
세기,셈/강도
일본,근본
보존,보존
특별,특단/유별/유다르다
나무,화목/재목/시목
잔디,초모/사초
식물,먹을거리
종류,종속
장군,횡부/장관/긴치마
유적,유편/유찬/유진
운동,스포츠
고려,초사/초려/생각하다
단지,한낱/오직/오로지
목적,속새/덕욱새
수상,수하/수상/송상
시대,시상
수도,하수/주로/주도
수원,승원/수행인/수행원
휴양지,휴양처
개장,폐장/종전/천장
가구,집물/집기/여항
자전거,사이클
사찰,중원/정사/정궁
부지,터/존데/소식자
개관,폐관/물대기/관수
주상,주진/주문/주달
마리,수/삼신
연대,황금대/화대/연화좌
행정,행도/충정
명칭,호칭/칭호/접시천칭
상품,상화/상치/상물
주제,문제/주제에 수캐라고 다리 들고 오줌 눈다
진행,진행/사회/가기
경주,조정/달리기하다/경조
광주,광주 생원 첫 서울
초기,초엽/초사/초록
지점,역점/지렛목/받침점
재료,자재/자료/원료
바람,허풍/풍조/풍기
수지,입출/수조/손가락
저수지,수당
석탑,석인/돌탑
무대,해류/스테이지/무상
가슴,흉부/유방/가슴에 멍이 들다
성장,크다/자라다/자라나다
실시,이루어지다/실행/실기
현대,현시대/금대
발전,수전/쇠퇴/발신
기원,희망/원류/시초
향상,향안/올라가다/붙다
기여,한몫하다/자하다/이바지되다
금강,벌절라/발절라/다이아몬드
스포츠,운동
상태,양상
성지,은지/성터/성충
안내,치기/인도/알림
정보,정/경
근대,첨채/부단초/군달
가옥,진옥
면적,넓이
구성,플롯/짜임새/짜임
구역,신역/토역증/토역
이후,이전/후/이강
신부,신랑/주부/새색시
천주교,성교/로마교/나마교
성당,성전/문묘
이야기,설화/담화/담설
전형,화살꼴/전주/전기 주조
발굴,캐내다
문화재,문화물
선생,함장/선생의 똥은 개도 안 먹는다
재미,즐거움/수익/낙
공기,분위기/대기/공구
활동,활사/움직이다/일
정원,호정/티오/원정
그루,주/그루터기/그루 갖추다
복원,동원/제사 접촉/복원
천연,인조/인공/흡사
절벽,벼랑
산림,은사/숲/삼림
목포,포목
고종,영종/목화/목면
붕어,천붕/척방/즉어
차례,차서/차사/제차
환경,월사/월객/여건
일부,일부분/수부/갑부
대상,대하/호상/캐러밴
건강,약
연꽃,하화/우화/연화
후기,전기/발문/발
문학,예술문학/문학예술/문예
사회,한회/진행/세계
노래,만래/노닥노닥 기워도 마누라 장옷
둘레,주회/주위/외연
현장,현창/현지/실지
국민,국인
대회,집회/모임
종합,총괄/진테제/뭉뚱그리다
거대,미소/크다/커다랗다
극장,희대/영화관/연극장
제호,펠리컨/이호/오택
암석,석암/바위
선조,호음조/호성조/필라멘트
동강,동강 치다
우수,좌수/기수/짝수
느티나무,규목/귀목나무
수령,호수/하년/주령
유지,크림/지키다/지지
화석,채문석/부싯돌/꽃돗자리
창작,만들다
건축,조영/영조/세우다
생가,양가/실가/본생
유물,유품/유류품
자료,재료/자재/원료
형식,모델
잉어,황리/현구/적리
회관,회당
통일,통일/일통
한강,한수/한강 가서 목욕한다
북한,조선/이북땅/이북
표현,표현/표시/표
관람,완상/완람/완견
너비,폭/광협/광
소재,대재/전재/재료
공산,확률/팔공/암산
황토,황양/천대/저승
경제,경판 시조/경조/경드름
민속,민풍/민습
봉우리,산봉우리/산봉/산령
미래,후제/후세/타세
세종,연종/연미/연모
과정,내맥/경로
의식,자각/의전/의례
창건,창립/서다
향기,악취/악기/향훈
남북,남북 나다
동상,연침/연금/여상
공주,지주/받침대/공술
마루,청사/말루/대청
수영,헴하다/헤엄하다/헴
기둥,주/버팀목/버팀나무
재배,배재/가꾸다
장식,치장/종자식/장태식
조명,조칙/조책/조유
교육장,교장
얼굴,표정/인물/용안
연구,파다/파고들다/탐구
가치,종치/의치/값어치
경기,중도위/중도/장쾌
능선,비단부채
공연,상연/괜하다/공수 내리다
담장,농장/장옥/도장
부부,항배/이인/안팎
수질,피질/수경/속질
폭포,홍천/현천/현수
기관,틀/증기통/원동기
단체,홑원소 물질
대지,차지/대우/대공
설립,세우다/서다
정신,혁신/유신/에스프리
야외,한데/실외/노천
대전,소전/회파신/회란
수영장,헤엄터/풀장/풀
단풍,풍엽/장/단풍도 떨어질 때에 떨어진다
지리산,방장산/두류산/지리산 포수
객실,여객실/손님방/빈실
유아,해제지동/해자/해영
승마,말타기/끼절가리/기승
학습,익히다/습학/수업
기회,틈/찬스/때
전투,투전/싸움하다/교화
치유,낫다
숙소,숙처/숙야/숙송
불상,불체/부처
보물,화보/보화/보재
배치,포치/배포/배치
수집,취집/수취/수채
독서,염서
약수,약물
강변,하변/하반/강안
서비스,용역/서브
연못,연지/연당/못
강의,수업
교회,회당/성전
수련,훈련/익히다/연수
낙동강,낙동강 오리알
무주,주나라/주
썰매,썰매는 여름에 장만하고 달구지는 겨울에 장만한다
한옥,한옥집/한식집/조선집
마당,과장/마당 빌리다/마당 벌어진 데 웬 솔뿌리 걱정
계승,전승/이어받다/승사
전면,후면/전방/앞쪽
우측,좌측/우편/우방
설계,파계/계획
상류,상층/물위
증진,감퇴/증진/붙다
구분,총묘/유택/언덕
여가,틈/염집/여염집
최신,최고
관심,관념
수준,평준/수평기/레벨
메뉴,차림표
전기,후기/전지/전기 제품
남산,남산 봉화 들 제 인경 치고 사대문 열 제 순라군이 제격이라
온천수,온천물
레스토랑,양식당
구비,쇠두엄/소두엄/구점
농장,담장/진장/진간장
측면,횡면/옆면/사이드
교류,호류
조사,횡요/행사/토핵
화강암,화강석/쑥돌
대문,소문/큰문/정문
평가,평집/테스트/생각하다
전주,지전/지난주/주문
재현,현재/재현/재생
국악,한국 음악
평생,한살이/한뉘/필세
제품,품제/천수/제조품
기술,테크놀러지/전술/솜씨
지식,침식/지인/붕우
성곽,성
성벽,성장/성
앞면,뒷면/전면
기단,추단/발단/기괴
보수,진보/페이/앙갚음하다
보급,보급
고택,옛집/고혈/고가
강좌,수업/강연/강석
여성,남성/여수/부녀자
연극,연희/드라마/극
경기장,시합장/그라운드
대청,청대/청간/요람
업소,사업장
내국인,내국민
부엌,부엌에 가면 더 먹을까 방에 가면 더 먹을까
안방,주부실/유방/유박
